日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-01-26,000166,12.39,13.78,14.85,11.35,12259278,23755591168.0,124.11,388.65,10.96,37.67
2015-01-27,000166,12.85,12.36,13.29,12.33,6875505,12429620736.0,6.97,-10.3,-1.42,21.12
2015-01-28,000166,12.26,11.94,12.26,11.67,3682042,6344390144.0,4.77,-3.4,-0.42,11.31
2015-01-29,000166,11.6,12.26,12.54,11.49,3956047,6838197504.0,8.79,2.68,0.32,12.15
2015-01-30,000166,12.18,11.71,12.36,11.67,2688311,4614103296.0,5.63,-4.49,-0.55,8.26
2015-02-02,000166,11.21,10.79,11.34,10.71,2968030,4709138176.0,5.38,-7.86,-0.92,9.12
2015-02-03,000166,10.97,11.06,11.14,10.79,2441306,3874595328.0,3.24,2.5,0.27,7.5
2015-02-04,000166,11.08,10.73,11.2,10.71,2526351,3986040192.0,4.43,-2.98,-0.33,7.76
2015-02-05,000166,11.07,10.62,11.07,10.62,2337072,3657292480.0,4.19,-1.03,-0.11,7.18
2015-02-06,000166,10.44,10.3,10.68,10.23,1964061,2973104640.0,4.24,-3.01,-0.32,6.03
2015-02-09,000166,10.27,10.72,10.91,10.2,2630038,4062699408.0,6.89,4.08,0.42,8.08
2015-02-10,000166,10.63,10.57,10.81,10.42,1870823,2879595616.0,3.64,-1.4,-0.15,5.75
2015-02-11,000166,10.63,11.0,11.06,10.48,2451222,3845895392.0,5.49,4.07,0.43,7.53
2015-02-12,000166,10.9,10.91,11.03,10.77,1575186,2482387344.0,2.36,-0.82,-0.09,4.84
2015-02-13,000166,11.0,10.9,11.13,10.87,1624716,2580064928.0,2.38,-0.09,-0.01,4.99
2015-02-16,000166,10.91,10.8,10.94,10.75,1268139,1987430992.0,1.74,-0.92,-0.1,3.9
2015-02-17,000166,10.82,10.92,11.03,10.82,1212164,1918480496.0,1.94,1.11,0.12,3.72
2015-02-25,000166,10.97,10.7,10.97,10.67,1003062,1561035952.0,2.75,-2.01,-0.22,3.08
2015-02-26,000166,10.65,11.02,11.15,10.48,2129151,3345515248.0,6.26,2.99,0.32,6.54
2015-02-27,000166,10.95,10.9,11.05,10.86,1424341,2254747504.0,1.72,-1.09,-0.12,4.38
2015-03-02,000166,11.08,11.02,11.28,10.94,2095634,3357588720.0,3.12,1.1,0.12,6.44
2015-03-03,000166,10.97,10.65,10.97,10.65,1777157,2768033600.0,2.9,-3.36,-0.37,5.46
2015-03-04,000166,10.63,10.72,10.85,10.63,1048845,1629174400.0,2.07,0.66,0.07,3.22
2015-03-05,000166,10.65,10.67,10.83,10.6,1199280,1856576176.0,2.15,-0.47,-0.05,3.68
2015-03-06,000166,10.7,10.63,10.8,10.62,975870,1512189536.0,1.69,-0.37,-0.04,3.0
2015-03-09,000166,10.36,10.54,10.59,10.25,1340238,2017582288.0,3.2,-0.85,-0.09,4.12
2015-03-10,000166,10.51,10.62,10.78,10.42,1239555,1899032656.0,3.42,0.76,0.08,3.81
2015-03-11,000166,10.62,10.48,10.77,10.42,1215782,1865269872.0,3.3,-1.32,-0.14,3.74
2015-03-12,000166,10.52,10.58,10.73,10.42,1282557,1965937248.0,2.96,0.95,0.1,3.94
2015-03-13,000166,10.63,10.6,10.77,10.53,1164827,1796282768.0,2.27,0.19,0.02,3.58
2015-03-16,000166,10.62,10.82,10.83,10.53,2030431,3153751152.0,2.83,2.08,0.22,6.24
2015-03-17,000166,10.91,11.65,11.89,10.85,4587791,7489495296.0,9.61,7.67,0.83,14.1
2015-03-18,000166,11.67,12.03,12.26,11.52,3987765,6849320960.0,6.35,3.26,0.38,12.25
2015-03-19,000166,12.05,11.95,12.16,11.75,2564621,4397697536.0,3.41,-0.67,-0.08,7.88
2015-03-20,000166,11.98,12.52,12.98,11.73,4425377,7853674496.0,10.46,4.77,0.57,13.6
2015-03-23,000166,12.41,12.48,12.69,12.24,2927399,5226910208.0,3.59,-0.32,-0.04,8.99
2015-03-24,000166,12.45,12.04,12.45,11.82,2708267,4715207936.0,5.05,-3.53,-0.44,8.32
2015-03-25,000166,12.02,11.91,12.31,11.86,2034971,3514445840.0,3.74,-1.08,-0.13,6.25
2015-03-26,000166,11.82,11.97,12.13,11.69,1854593,3178770128.0,3.69,0.5,0.06,5.7
2015-03-27,000166,11.97,11.98,12.08,11.89,1252506,2159041120.0,1.59,0.08,0.01,3.85
2015-03-30,000166,12.0,12.14,12.25,11.95,1916090,3334112992.0,2.5,1.34,0.16,5.89
2015-03-31,000166,12.26,12.01,12.74,11.97,2747237,4870208768.0,6.34,-1.07,-0.13,8.44
2015-04-01,000166,12.05,12.17,12.31,11.94,1948163,3390374960.0,3.08,1.33,0.16,5.99
2015-04-02,000166,12.24,12.09,12.32,11.95,1776137,3084623648.0,3.04,-0.66,-0.08,5.46
2015-04-03,000166,11.97,12.34,12.47,11.96,2492074,4386372096.0,4.22,2.07,0.25,7.66
2015-04-07,000166,12.48,12.51,12.54,12.27,2620246,4670383872.0,2.19,1.38,0.17,8.05
2015-04-08,000166,12.57,13.43,13.77,12.42,5084897,9522503936.0,10.79,7.35,0.92,15.62
2015-04-09,000166,13.54,13.36,14.48,13.31,5144671,10136816384.0,8.71,-0.52,-0.07,15.81
2015-04-10,000166,13.22,13.37,13.45,13.02,2406514,4556914176.0,3.22,0.07,0.01,7.39
2015-04-13,000166,13.45,13.41,13.64,13.17,2291062,4369214208.0,3.52,0.3,0.04,7.04
2015-04-14,000166,13.37,13.43,13.62,12.96,2322682,4395884544.0,4.92,0.15,0.02,7.14
2015-04-15,000166,13.41,12.91,13.41,12.9,1585327,2986230928.0,3.8,-3.87,-0.52,4.87
2015-04-16,000166,12.74,12.97,13.16,12.58,1524522,2808183552.0,4.49,0.46,0.06,4.68
2015-04-17,000166,13.13,13.07,13.42,12.97,1998820,3763872784.0,3.47,0.77,0.1,6.14
2015-04-20,000166,13.08,12.62,13.11,12.62,2082003,3825452160.0,3.75,-3.44,-0.45,6.4
2015-04-21,000166,12.42,13.11,13.3,12.42,2069836,3845619008.0,6.97,3.88,0.49,6.36
2015-04-22,000166,13.16,13.73,14.02,13.06,3032776,5802979840.0,7.32,4.73,0.62,9.32
2015-04-23,000166,13.78,13.31,13.84,13.27,2766249,5339266304.0,4.15,-3.06,-0.42,8.5
2015-04-24,000166,13.08,12.85,13.15,12.69,1911151,3537468368.0,3.46,-3.46,-0.46,5.87
2015-04-27,000166,12.92,12.97,13.15,12.8,1485176,2755165616.0,2.72,0.93,0.12,4.56
2015-04-28,000166,12.97,12.88,13.14,12.78,1693591,3140715520.0,2.78,-0.69,-0.09,5.2
2015-04-29,000166,12.97,12.9,13.0,12.7,1116175,2056653072.0,2.33,0.16,0.02,3.43
2015-04-30,000166,12.97,12.69,12.99,12.67,1298258,2385338400.0,2.48,-1.63,-0.21,3.99
2015-05-04,000166,12.68,12.62,12.82,12.51,1046984,1892924992.0,2.44,-0.55,-0.07,3.22
2015-05-05,000166,12.6,12.22,12.91,12.17,1469855,2648737984.0,5.86,-3.17,-0.4,4.52
2015-05-06,000166,12.34,12.04,12.62,11.91,1395619,2460915824.0,5.81,-1.47,-0.18,4.29
2015-05-07,000166,11.93,12.09,12.34,11.93,1075448,1872067952.0,3.41,0.42,0.05,3.3
2015-05-08,000166,12.32,12.2,12.41,11.95,1079911,1884735024.0,3.8,0.91,0.11,3.32
2015-05-11,000166,12.39,12.47,12.48,12.22,1427157,2531160960.0,2.13,2.21,0.27,4.38
2015-05-12,000166,12.48,12.66,12.91,12.28,1878973,3403016400.0,5.05,1.52,0.19,5.77
2015-05-13,000166,12.67,12.35,12.67,12.31,1325218,2362872128.0,2.84,-2.45,-0.31,4.07
2015-05-14,000166,12.37,12.28,12.51,12.2,974397,1722680624.0,2.51,-0.57,-0.07,2.99
2015-05-15,000166,12.25,12.39,12.71,11.98,1853852,3280032672.0,5.94,0.9,0.11,5.7
2015-05-18,000166,12.17,12.12,12.39,12.06,1092602,1914893136.0,2.66,-2.18,-0.27,3.36
2015-05-19,000166,12.11,12.8,13.21,12.08,3301087,6006494208.0,9.32,5.61,0.68,10.14
2015-05-20,000166,12.7,12.52,12.76,12.45,2209408,3980654208.0,2.42,-2.19,-0.28,6.79
2015-05-21,000166,12.52,12.52,12.63,12.36,1398763,2504937616.0,2.16,0.0,0.0,4.3
2015-05-22,000166,12.65,12.88,13.13,12.58,2575462,4746692352.0,4.39,2.88,0.36,7.91
2015-05-25,000166,12.91,13.16,13.43,12.91,2909068,5479255808.0,4.04,2.17,0.28,8.94
2015-05-26,000166,13.2,13.31,13.48,12.91,3147038,5918033664.0,4.33,1.14,0.15,9.67
2015-05-27,000166,13.32,13.74,13.89,13.12,3776417,7301563904.0,5.79,3.23,0.43,11.6
2015-05-28,000166,13.78,12.94,14.47,12.77,4789385,9495664640.0,12.37,-5.82,-0.8,14.72
2015-05-29,000166,13.02,13.08,13.43,12.57,3184959,5969560576.0,6.65,1.08,0.14,9.79
2015-06-01,000166,13.08,13.68,13.97,12.71,3288197,6283590912.0,9.63,4.59,0.6,10.1
2015-06-02,000166,13.67,13.97,14.02,13.45,2980357,5846981120.0,4.17,2.12,0.29,9.16
2015-06-03,000166,14.11,13.51,14.11,13.42,2609941,5126656256.0,4.94,-3.29,-0.46,8.02
2015-06-04,000166,13.56,13.55,13.86,12.77,2700950,5148018432.0,8.07,0.3,0.04,8.3
2015-06-05,000166,13.78,13.41,13.85,13.12,2758355,5320601344.0,5.39,-1.03,-0.14,8.48
2015-06-15,000166,13.7,13.28,14.24,13.22,2942498,5758773248.0,7.61,-0.97,-0.13,9.04
2015-06-16,000166,13.08,12.81,13.44,12.68,1871787,3496611120.0,5.72,-3.54,-0.47,5.75
2015-06-17,000166,12.97,12.87,13.04,12.42,1651003,3003491408.0,4.84,0.47,0.06,5.07
2015-06-18,000166,12.73,12.25,12.85,12.22,1373068,2471302736.0,4.9,-4.82,-0.62,4.22
2015-06-19,000166,12.18,11.97,12.63,11.93,1584485,2801797232.0,5.71,-2.29,-0.28,4.87
2015-06-23,000166,12.1,12.43,12.46,11.71,1447478,2533838224.0,6.27,3.84,0.46,4.45
2015-06-24,000166,12.51,12.54,12.56,12.23,1412864,2517614192.0,2.65,0.88,0.11,4.34
2015-06-25,000166,12.56,12.17,12.71,12.04,1426363,2548204752.0,5.34,-2.95,-0.37,4.38
2015-06-26,000166,12.0,11.18,12.52,10.87,2146966,3631410560.0,13.56,-8.13,-0.99,6.6
2015-06-29,000166,11.63,10.41,11.63,10.02,2098379,3300885168.0,14.4,-6.89,-0.77,6.45
2015-06-30,000166,10.42,11.26,11.29,9.79,2162293,3352259472.0,14.41,8.17,0.85,6.64
2015-07-01,000166,11.07,10.4,11.37,10.34,1659385,2638195984.0,9.15,-7.64,-0.86,5.1
2015-07-02,000166,10.82,10.13,10.85,9.61,1721135,2595188192.0,11.92,-2.6,-0.27,5.29
2015-07-03,000166,10.26,9.32,10.3,9.14,1649026,2342440256.0,11.45,-8.0,-0.81,5.07
2015-07-06,000166,10.33,9.89,10.33,9.27,2216758,3172331248.0,11.37,6.12,0.57,6.81
2015-07-07,000166,9.6,9.89,9.89,8.82,2976373,4083884864.0,10.82,0.0,0.0,9.14
2015-07-08,000166,8.91,8.82,9.21,8.82,3733819,4945596160.0,3.94,-10.82,-1.07,11.47
2015-07-09,000166,8.82,9.79,9.79,8.2,2233414,3044075408.0,18.03,11.0,0.97,6.86
2015-07-10,000166,9.85,10.84,10.85,9.6,2926159,4490900736.0,12.77,10.73,1.05,8.99
2015-07-13,000166,10.61,10.95,11.49,10.47,2938375,4639629568.0,9.41,1.01,0.11,9.03
2015-07-14,000166,10.61,10.2,10.75,10.11,1980315,3003668736.0,5.84,-6.85,-0.75,6.08
2015-07-15,000166,10.0,9.22,10.3,9.2,1388078,1962543472.0,10.78,-9.61,-0.98,4.26
2015-07-16,000166,9.22,9.35,9.63,9.01,1098045,1501675248.0,6.72,1.41,0.13,3.37
2015-07-17,000166,9.41,9.79,9.96,9.35,1185578,1667446128.0,6.52,4.71,0.44,3.64
2015-07-20,000166,9.78,9.68,9.94,9.58,1100819,1560319312.0,3.68,-1.12,-0.11,3.38
2015-07-21,000166,9.56,9.76,9.94,9.45,1201767,1704563984.0,5.06,0.83,0.08,3.69
2015-07-22,000166,9.74,9.61,9.85,9.51,872291,1229452768.0,3.48,-1.54,-0.15,2.68
2015-07-23,000166,9.66,9.87,9.89,9.62,1175110,1680513632.0,2.81,2.71,0.26,3.61
2015-07-24,000166,9.88,9.59,9.92,9.51,1182925,1687503952.0,4.15,-2.84,-0.28,3.63
2015-07-27,000166,9.41,8.55,9.51,8.55,1322979,1757232528.0,10.01,-10.84,-1.04,4.06
2015-07-28,000166,8.36,9.17,9.48,7.87,2387696,3097563360.0,18.83,7.25,0.62,7.34
2015-07-29,000166,9.11,9.3,9.6,8.86,1007183,1344308656.0,8.07,1.42,0.13,3.09
2015-07-30,000166,9.22,8.91,9.4,8.91,711884,958525360.0,5.27,-4.19,-0.39,2.19
2015-07-31,000166,8.82,9.05,9.07,8.71,685728,899511328.0,4.04,1.57,0.14,2.11
2015-08-03,000166,8.9,9.28,9.28,8.84,812372,1079959792.0,4.86,2.54,0.23,2.5
2015-08-04,000166,9.23,9.44,9.48,9.08,873408,1190544704.0,4.31,1.72,0.16,2.68
2015-08-05,000166,9.42,9.1,9.42,9.08,562349,762008960.0,3.6,-3.6,-0.34,1.73
2015-08-06,000166,8.92,8.88,9.1,8.85,427751,562194272.0,2.75,-2.42,-0.22,1.31
