日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-01-04,000100,0.56,0.58,0.58,0.55,183332,63286120.0,5.36,3.57,0.02,0.65
2011-01-05,000100,0.58,0.56,0.58,0.55,169700,58492428.0,5.17,-3.45,-0.02,0.61
2011-01-06,000100,0.56,0.63,0.72,0.56,848800,307522464.0,28.57,12.5,0.07,3.03
2011-01-07,000100,0.61,0.64,0.66,0.59,477472,171087184.0,11.11,1.59,0.01,1.7
2011-01-10,000100,0.63,0.67,0.7,0.61,481755,177179376.0,14.06,4.69,0.03,1.72
2011-01-11,000100,0.66,0.68,0.69,0.64,357653,131413464.0,7.46,1.49,0.01,1.28
2011-01-12,000100,0.68,0.68,0.69,0.65,276948,101937744.0,5.88,0.0,0.0,0.99
2011-01-13,000100,0.68,0.67,0.68,0.65,257521,94073400.0,4.41,-1.47,-0.01,0.92
2011-01-14,000100,0.66,0.66,0.68,0.65,193633,70834256.0,4.48,-1.49,-0.01,0.69
2011-01-17,000100,0.65,0.63,0.67,0.62,247024,89479536.0,7.58,-4.55,-0.03,0.88
2011-01-18,000100,0.61,0.7,0.7,0.61,344358,125459072.0,14.29,11.11,0.07,1.23
2011-01-19,000100,0.69,0.73,0.74,0.68,510563,193126672.0,8.57,4.29,0.03,1.82
2011-01-20,000100,0.71,0.65,0.73,0.65,280253,104111456.0,10.96,-10.96,-0.08,1.0
2011-01-21,000100,0.65,0.71,0.72,0.64,394642,146445632.0,12.31,9.23,0.06,1.41
2011-01-24,000100,0.71,0.82,0.84,0.7,1134975,449257120.0,19.72,15.49,0.11,4.05
2011-01-31,000100,0.77,0.81,0.82,0.75,468658,184729824.0,8.54,-1.22,-0.01,1.67
2011-02-01,000100,0.79,0.79,0.82,0.78,234771,93161040.0,4.94,-2.47,-0.02,0.84
2011-02-09,000100,0.79,0.81,0.84,0.77,333269,133068384.0,8.86,2.53,0.02,1.19
2011-02-10,000100,0.81,0.83,0.83,0.79,363875,145432992.0,4.94,2.47,0.02,1.3
2011-02-11,000100,0.82,0.79,0.82,0.78,404231,160447968.0,4.82,-4.82,-0.04,1.44
2011-02-14,000100,0.79,0.84,0.86,0.78,840502,337588128.0,10.13,6.33,0.05,3.0
2011-02-15,000100,0.85,0.84,0.89,0.84,726551,298024768.0,5.95,0.0,0.0,2.59
2011-02-16,000100,0.84,0.98,0.99,0.84,1641922,692381568.0,17.86,16.67,0.14,5.86
2011-02-17,000100,0.94,0.92,0.97,0.9,1051983,445744160.0,7.14,-6.12,-0.06,3.76
2011-02-18,000100,0.92,0.89,0.94,0.87,508792,211719456.0,7.61,-3.26,-0.03,1.82
2011-02-21,000100,0.89,1.0,1.02,0.87,1100934,477155616.0,16.85,12.36,0.11,3.93
2011-02-22,000100,1.01,0.99,1.06,0.96,884596,389599072.0,10.0,-1.0,-0.01,3.16
2011-02-23,000100,0.98,1.04,1.04,0.97,606574,266962784.0,7.07,5.05,0.05,2.17
2011-02-24,000100,1.04,0.99,1.04,0.95,542444,237818224.0,8.65,-4.81,-0.05,1.94
2011-02-28,000100,1.07,1.19,1.19,1.04,2645301,1245861376.0,15.15,20.2,0.2,9.44
2011-03-01,000100,1.2,1.15,1.21,1.13,1852642,882347648.0,6.72,-3.36,-0.04,6.61
2011-03-02,000100,1.14,1.14,1.14,1.08,1018635,472655712.0,5.22,-0.87,-0.01,3.64
2011-03-03,000100,1.13,1.07,1.14,1.05,763082,352378912.0,7.89,-6.14,-0.07,2.72
2011-03-04,000100,1.08,1.11,1.13,1.07,554243,256039392.0,5.61,3.74,0.04,1.98
2011-03-07,000100,1.12,1.11,1.14,1.09,678596,315007296.0,4.5,0.0,0.0,2.42
2011-03-08,000100,1.11,1.1,1.12,1.09,463530,214954656.0,2.7,-0.9,-0.01,1.65
2011-03-09,000100,1.1,1.13,1.14,1.1,680882,317846368.0,3.64,2.73,0.03,2.43
2011-03-10,000100,1.12,1.07,1.12,1.06,827059,378744704.0,5.31,-5.31,-0.06,2.95
2011-03-11,000100,1.05,1.12,1.18,1.04,1072218,498680864.0,13.08,4.67,0.05,3.83
2011-03-15,000100,1.06,1.03,1.09,0.99,1059023,473203840.0,8.93,-8.04,-0.09,3.78
2011-03-16,000100,1.01,1.11,1.17,1.01,1276740,592416192.0,15.53,7.77,0.08,4.56
2011-03-17,000100,1.07,1.04,1.08,1.03,686547,309336128.0,4.5,-6.31,-0.07,2.45
2011-03-18,000100,1.06,1.07,1.08,1.04,368342,166546480.0,3.85,2.88,0.03,1.31
2011-03-21,000100,1.06,1.06,1.09,1.05,322267,146853568.0,3.74,-0.93,-0.01,1.15
2011-03-22,000100,1.07,1.04,1.07,1.03,312240,140323024.0,3.77,-1.89,-0.02,1.11
2011-03-23,000100,1.04,1.05,1.06,1.03,305069,137010864.0,2.88,0.96,0.01,1.09
2011-03-24,000100,1.05,1.03,1.05,1.03,304735,136500128.0,1.9,-1.9,-0.02,1.09
2011-03-28,000100,1.05,1.04,1.09,1.04,429350,194522512.0,4.85,0.97,0.01,1.53
2011-03-29,000100,1.04,1.08,1.1,1.04,644789,294248960.0,5.77,3.85,0.04,2.3
2011-03-30,000100,1.08,1.12,1.15,1.08,729674,340928416.0,6.48,3.7,0.04,2.6
2011-03-31,000100,1.1,0.99,1.1,0.96,1599954,709979520.0,12.5,-11.61,-0.13,5.71
2011-04-01,000100,1.01,0.99,1.02,0.96,725077,315896704.0,6.06,0.0,0.0,2.59
2011-04-06,000100,1.0,0.98,1.01,0.96,587772,255955648.0,5.05,-1.01,-0.01,2.1
2011-04-07,000100,0.98,1.0,1.01,0.96,535499,233949936.0,5.1,2.04,0.02,1.91
2011-04-08,000100,1.0,1.01,1.02,0.99,398900,176085504.0,3.0,1.0,0.01,1.42
2011-04-11,000100,1.03,1.03,1.06,1.02,479671,214915664.0,3.96,1.98,0.02,1.71
2011-04-12,000100,1.04,1.12,1.16,1.03,1250194,579607424.0,12.62,8.74,0.09,4.46
2011-04-13,000100,1.14,1.19,1.23,1.11,1308560,627455360.0,10.71,6.25,0.07,4.67
2011-04-14,000100,1.2,1.33,1.41,1.2,2126110,1084283904.0,17.65,11.76,0.14,7.59
2011-04-18,000100,1.38,1.38,1.43,1.33,1559279,815535680.0,7.52,3.76,0.05,5.57
2011-04-19,000100,1.35,1.56,1.61,1.34,3918351,2186707200.0,19.57,13.04,0.18,13.99
2011-04-20,000100,1.54,1.48,1.58,1.45,2127808,1168355328.0,8.33,-5.13,-0.08,7.6
2011-04-21,000100,1.5,1.64,1.66,1.47,1509804,856525760.0,12.84,10.81,0.16,5.39
2011-04-25,000100,1.68,1.82,1.9,1.64,4658994,2921061888.0,15.85,10.98,0.18,16.63
2011-04-26,000100,1.72,1.54,1.74,1.54,2863593,1661057920.0,10.99,-15.38,-0.28,10.22
2011-04-27,000100,1.52,1.64,1.71,1.52,2203116,1267698048.0,12.34,6.49,0.1,7.86
2011-04-28,000100,1.63,1.59,1.7,1.51,1530994,881368064.0,11.59,-3.05,-0.05,5.46
2011-04-29,000100,1.59,1.57,1.64,1.49,1281924,721112128.0,9.43,-1.26,-0.02,4.58
2011-05-06,000100,1.67,1.83,1.83,1.62,3462899,2120053504.0,13.38,16.56,0.26,12.36
2011-05-09,000100,1.87,1.85,1.91,1.79,2626573,1646702848.0,6.56,1.09,0.02,9.38
2011-05-10,000100,1.83,1.87,1.87,1.76,1781112,1101822592.0,5.95,1.08,0.02,6.36
2011-05-11,000100,1.85,1.95,2.04,1.8,2702028,1751926016.0,12.83,4.28,0.08,9.65
2011-05-12,000100,1.91,1.82,1.97,1.81,1797676,1147130496.0,8.21,-6.67,-0.13,6.38
2011-05-16,000100,1.95,1.94,2.04,1.89,2208935,1438735872.0,8.24,6.59,0.12,7.83
2011-05-17,000100,1.91,2.05,2.12,1.88,2342719,1546893568.0,12.37,5.67,0.11,8.31
2011-05-18,000100,2.03,1.93,2.04,1.91,1900691,1238425472.0,6.34,-5.85,-0.12,6.74
2011-05-19,000100,1.95,1.97,2.09,1.93,4600630,1522260736.0,8.29,2.07,0.04,8.21
2011-05-20,000100,1.96,1.91,1.96,1.84,2931370,931710720.0,6.09,-3.05,-0.06,5.23
2011-05-23,000100,1.88,1.74,1.89,1.73,3091399,945476736.0,8.38,-8.9,-0.17,5.52
2011-05-24,000100,1.64,1.62,1.64,1.47,3619347,1026827328.0,9.77,-6.9,-0.12,6.46
2011-05-25,000100,1.57,1.64,1.73,1.52,2784042,808845056.0,12.96,1.23,0.02,4.97
2011-05-26,000100,1.64,1.52,1.67,1.51,2450242,693097920.0,9.76,-7.32,-0.12,4.37
2011-05-27,000100,1.48,1.37,1.49,1.36,2674996,708531968.0,8.55,-9.87,-0.15,4.77
2011-05-30,000100,1.35,1.37,1.43,1.34,1598029,420520736.0,6.57,0.0,0.0,2.85
2011-05-31,000100,1.38,1.46,1.47,1.34,2263813,601607872.0,9.49,6.57,0.09,4.04
2011-06-01,000100,1.44,1.44,1.46,1.41,1554730,415800480.0,3.42,-1.37,-0.02,2.77
2011-06-02,000100,1.4,1.42,1.45,1.35,1728828,456760544.0,6.94,-1.39,-0.02,3.09
2011-06-03,000100,1.43,1.44,1.47,1.41,1561181,419398752.0,4.23,1.41,0.02,2.79
2011-06-07,000100,1.42,1.47,1.48,1.39,2011124,538855424.0,6.25,2.08,0.03,3.59
