date,return,n_stocks
2012-01-31,0.20761080615074926,200
2012-02-29,0.2401913033378108,200
2012-03-31,0.22324195544584324,200
2012-04-30,0.36818377503314215,200
2012-05-31,0.24672906948461232,200
2012-06-30,0.28119839099800503,200
2012-07-31,0.21873799645318742,200
2012-08-31,0.26221759187623406,200
2012-09-30,0.35361427597387335,200
2012-10-31,0.26975485988727455,200
2012-11-30,0.2323706249101818,200
2012-12-31,0.43329685572265697,200
2013-01-31,0.311528186299083,200
2013-02-28,0.31072811979573034,200
2013-03-31,0.42753688239048004,200
2013-04-30,0.3574840866922583,200
2013-05-31,0.2907513388309818,200
2013-06-30,0.552453941606642,200
2013-07-31,0.24377899884435197,200
2013-08-31,0.22245659480009275,200
2013-09-30,0.3665838783097579,200
2013-10-31,0.3081639276133321,200
2013-11-30,0.2878876585863066,200
2013-12-31,0.3364098852033733,200
2014-01-31,0.269607652105903,200
2014-02-28,0.2009136658295123,200
2014-03-31,0.2755644948556208,200
2014-04-30,0.3627373129336266,200
2014-05-31,0.31155900226013594,200
2014-06-30,0.3447144851369626,200
2014-07-31,0.23204055403146656,200
2014-08-31,0.2640705852789426,200
2014-09-30,0.28210674036416344,200
2014-10-31,0.2235348621684628,200
2014-11-30,0.26507454024683275,200
2014-12-31,0.29513363395207326,200
2015-01-31,0.30838240189946636,200
2015-02-28,0.3112914318448319,200
2015-03-31,0.41594890941348994,200
2015-04-30,0.27723390646734786,200
2015-05-31,0.28003685049209925,200
2015-06-30,0.21832633332988627,200
2015-07-31,0.3809408115418418,200
2015-08-31,0.4090236783856974,200
2015-09-30,0.34853433671143536,200
2015-10-31,0.19531399652886666,200
2015-11-30,0.15145647210815244,200
2015-12-31,0.2898917990932114,200
2016-01-31,0.5335863710206163,200
2016-02-29,0.2871825073287348,200
2016-03-31,0.3646265849273858,200
2016-04-30,0.43760417860335665,200
2016-05-31,0.4346341728308981,200
2016-06-30,0.3528740928381944,200
2016-07-31,0.31202873604502196,200
2016-08-31,0.31715715766407504,200
2016-09-30,0.39137874642314446,200
2016-10-31,0.16864176579943882,200
2016-11-30,0.3730053346845557,200
2016-12-31,0.3521459107513819,200
2017-01-31,0.4831849643477326,200
2017-02-28,0.28294403294968423,200
2017-03-31,0.30835323995371444,200
2017-04-30,0.19443086271352572,200
2017-05-31,0.40747512721243845,200
2017-06-30,0.19905760573219147,200
2017-07-31,0.42511923329906587,200
2017-08-31,0.24315955616548027,200
2017-09-30,0.31409844239243445,200
2017-10-31,0.17362895834520936,200
2017-11-30,0.16756519373423118,200
2017-12-31,0.2389021179117759,200
2018-01-31,0.24039506922118356,200
2018-02-28,0.2057129466435175,200
2018-03-31,0.3677954045714758,200
2018-04-30,0.13135035770856524,200
2018-05-31,0.28018786710955185,200
2018-06-30,0.2507665618833775,200
2018-07-31,0.31820874802179877,200
2018-08-31,0.2914675825214233,200
2018-09-30,0.28855390686913696,200
2018-10-31,0.2267170956173854,200
2018-11-30,0.25918047680507006,200
2018-12-31,0.3116798563691496,200
2019-01-31,0.24754282185474355,200
2019-02-28,0.26196579521212016,200
2019-03-31,0.3334687377006495,200
2019-04-30,0.18070486059342983,200
2019-05-31,0.37559624397333524,200
2019-06-30,0.3099003088271294,200
2019-07-31,0.31019824041196403,200
2019-08-31,0.28446686062402404,200
2019-09-30,0.35838309280759273,200
2019-10-31,0.24672785367225972,200
2019-11-30,0.3050475509098732,200
2019-12-31,0.3507422808584987,200
2020-01-31,0.2144089251276908,200
2020-02-29,0.2514071671362161,200
2020-03-31,0.3711836021618589,200
2020-04-30,0.478468090105254,200
2020-05-31,0.46783844431836386,200
2020-06-30,0.32036858884472413,200
2020-07-31,0.25507189580934914,200
2020-08-31,0.2787032194335309,200
2020-09-30,0.2140743027858629,200
2020-10-31,0.23362632406451342,200
2020-11-30,0.23772562404038056,200
2020-12-31,0.2669005815162974,200
2021-01-31,,200
