date,Quality,Con_Value,Con_Change,Momentum,Turnover
2012-01-31,0.2,0.2,0.2,0.2,0.2
2012-02-29,0.2,0.2,0.2,0.2,0.2
2012-03-31,0.2,0.2,0.2,0.2,0.2
2012-04-30,0.2,0.2,0.2,0.2,0.2
2012-05-31,0.2,0.2,0.2,0.2,0.2
2012-06-30,0.2,0.2,0.2,0.2,0.2
2012-07-31,0.2,0.2,0.2,0.2,0.2
2012-08-31,0.2,0.2,0.2,0.2,0.2
2012-09-30,0.2,0.2,0.2,0.2,0.2
2012-10-31,0.2,0.2,0.2,0.2,0.2
2012-11-30,0.2,0.2,0.2,0.2,0.2
2012-12-31,-0.3731544585921058,0.12024574995898127,0.21377048308044722,-0.17785592152159535,0.11497338684687043
2013-01-31,-0.19301327280322822,0.14245975999197097,0.3163387715197507,-0.20791477079179269,0.14027342489325734
2013-02-28,-0.12829959896418913,0.11756059431827691,0.3455968719795289,-0.2631122121040392,0.14543072263396584
2013-03-31,-0.2145849857256486,0.10077843674977557,0.4521669686482316,-0.0842686805667809,0.1482009283095634
2013-04-30,-0.2530508857827826,0.05070248500678726,0.552343453870571,-0.1294455623440436,0.014457612995815524
2013-05-31,-0.2793571678902407,0.13586469656923703,0.4294058267675013,-0.027357081612070528,0.12801522716095054
2013-06-30,-0.3384849863816608,0.17411703512059318,0.36038359691725846,0.00508353355116409,0.12193084802932336
2013-07-31,-0.35164233782040855,0.3156091592927373,0.29764487965069125,-0.020637251435020133,0.01446637180114273
2013-08-31,-0.3251190734157191,0.2921033411668617,0.2959072781992334,0.02936079852790587,-0.05750950869027986
2013-09-30,-0.3556374395397046,0.294567225828188,0.24723358433072287,-0.03801596418660038,-0.06454578611478425
2013-10-31,-0.3240825615991012,0.2524629001262712,0.3424241535794035,0.04339897664573571,0.03763140804948849
2013-11-30,-0.3016870148860139,0.2408925211369181,0.3181365405129807,0.09092582822790425,0.04835809523618306
2013-12-31,-0.08236942977838484,0.2224288215776531,0.42001410158709024,0.1904109281381935,0.08477671891867836
2014-01-31,-0.07172323723454098,0.1611582334164208,0.39816045181784937,0.24692003308097352,0.12203804445021528
2014-02-28,-0.16504996642353462,0.026481830496818858,0.4364011496745321,0.2970904603423327,0.07497659306278175
2014-03-31,-0.11917176836412707,-0.05126449600103992,0.38135552861617045,0.41268349862981174,0.03552470838885087
2014-04-30,-0.1367699750013698,-0.06123766483971588,0.21070754629608682,0.3853697888692017,0.20591502499362574
2014-05-31,-0.22217765484886254,0.05686859870298097,0.25677761340717753,0.3495184718504673,0.11465766119051177
2014-06-30,-0.19818417174591116,-0.024960252378828995,0.2035679636071187,0.38963268828320907,0.18365492398493202
2014-07-31,-0.23382535292856574,-0.17939494572854495,0.24872057116853113,0.26856091317464303,0.06949821699971517
2014-08-31,-0.26269600123541514,-0.14280434317029092,0.11728700679529382,0.33381583326227393,0.1433968155367263
2014-09-30,-0.2282386539376874,-0.2003207683660959,0.13433058103717277,0.3124410557013352,0.12466894095770865
2014-10-31,-0.37045590457145633,-0.1402971146017985,0.018648307841334064,0.24091024604748573,0.22968842693792535
2014-11-30,-0.24640326491843717,-0.03247782959675211,0.22582046415346194,0.2071167028813711,0.28818173844997763
2014-12-31,-0.39764926472986334,0.09100043367653417,0.10140646914660886,0.2390696039477876,0.17087422849920594
2015-01-31,-0.30635935350418475,0.11509929218690969,0.21407874310511885,0.24010172327493176,0.12436088792885504
2015-02-28,-0.3028861629437233,0.19964484499461557,0.21005065227930014,0.2539950466836932,0.03342329309866788
2015-03-31,-0.2775395839499631,0.2365406893436059,0.2110358762580191,0.24186584602185082,0.03301800442656115
2015-04-30,-0.2846658598338474,0.29397721710006985,0.1695553663450398,0.19223865882478902,0.05956289789625377
