date,portfolio_value,benchmark_value
2011-01-01,1.0060125460149614,1.0110767892246073
2011-02-01,1.019125447991778,1.0224862158674748
2011-03-01,1.0307908430765158,1.03477149297176
2011-04-01,1.0714221388676801,1.0477435092328615
2011-05-01,1.120797479324893,1.06160131416106
2011-06-01,1.1684643790057427,1.0756424070368678
2011-07-01,1.19685732359601,1.0881391389263069
2011-08-01,1.2388067494246022,1.1018506852252155
2011-09-01,1.2751591520666372,1.114651902902553
2011-10-01,1.3144605209191447,1.126720609281665
2011-11-01,1.3603457086711035,1.1412718528392987
2011-12-01,1.4036256242001444,1.1536287822580669
2012-01-01,1.457542309274972,1.1702932535002657
2012-02-01,1.5052762555537789,1.184631341188047
2012-03-01,1.5547407230082584,1.1991450948962274
2012-04-01,1.5876067768129158,1.2118557379449189
2012-05-01,1.6085813780303966,1.2251749294777254
2012-06-01,1.6425988072252253,1.239331278692783
2012-07-01,1.6690605586802345,1.2572190471142715
2012-08-01,1.6974322100348829,1.2753649969151877
2012-09-01,1.728559863671083,1.2924590310933506
2012-10-01,1.7613826235550336,1.3103518137645087
2012-11-01,1.8001956254698583,1.3262065087028845
2012-12-01,1.8416268937452278,1.3422530386499567
2013-01-01,1.8622620140103585,1.3595697509256894
2013-02-01,1.8693750973449583,1.377435889495804
2013-03-01,1.8813995986357246,1.3944398264728042
2013-04-01,1.9409508385137955,1.4133207381581159
2013-05-01,2.0050097168982837,1.4324573000474026
2013-06-01,2.0851677711517547,1.4496293865898857
2013-07-01,2.1484497601231407,1.4681640751381313
2013-08-01,2.2014706474233945,1.4857604825235144
2013-09-01,2.25604462766912,1.5035677883759802
2013-10-01,2.3224642306040195,1.5272165109909295
2013-11-01,2.376756938992204,1.550961028227893
2013-12-01,2.483004560720404,1.5766268995302828
2014-01-01,2.537214692129011,1.5983651212878625
2014-02-01,2.5667412173070283,1.618690979461292
2014-03-01,2.618852813949929,1.638069305324449
2014-04-01,2.6999442507446703,1.661766934743531
2014-05-01,2.7734785061329568,1.681597473914562
2014-06-01,2.8423506348298835,1.7016646589566788
2014-07-01,2.9203949383650456,1.7221195931960065
2014-08-01,2.9959045008899667,1.741281139922787
2014-09-01,3.107857050679721,1.7640921621385586
2014-10-01,3.2045341435761467,1.7918688344881406
2014-11-01,3.30275261416153,1.8176072877942848
2014-12-01,3.414382001364379,1.8448942542261728
2015-01-01,3.501537996133058,1.8682877089677221
2015-02-01,3.608561967079722,1.893023082008962
2015-03-01,3.746117297795711,1.9209087235087987
2015-04-01,3.834479946679364,1.9529977755836414
2015-05-01,3.9257725086041475,1.9817210627425996
2015-06-01,4.02142620648558,2.0148259935505566
2015-07-01,4.063619017559845,2.043814263009864
2015-08-01,4.111314285832942,2.0695634176035536
2015-09-01,4.206563771536074,2.099339220677692
2015-10-01,4.278946607137752,2.1252167891196208
2015-11-01,4.354952135230556,2.1514133381921545
2015-12-01,4.400626385167729,2.178160993703086
2016-01-01,4.507664956811695,2.2064044685369044
2016-02-01,4.628177405507067,2.235014166929493
2016-03-01,4.767825211388381,2.2655892800143858
2016-04-01,4.873586279223547,2.2939265103016924
2016-05-01,4.999649927285516,2.3244794929590586
2016-06-01,5.123061269550935,2.3554394131294925
2016-07-01,5.304423482315687,2.386562793391515
2016-08-01,5.43609288860284,2.4210241225381477
2016-09-01,5.629568339332055,2.4530141002761745
2016-10-01,5.736791966399065,2.4801180915595378
2016-11-01,5.879999251631341,2.51301207824281
2016-12-01,5.9978727127095715,2.5407790028014623
2017-01-01,6.077897262763185,2.575282655771148
2017-02-01,6.14285377978894,2.6056683677445895
2017-03-01,6.200262668306016,2.6410532150751203
2017-04-01,6.377283069520567,2.672079540185927
2017-05-01,6.569263313529108,2.704084194165651
2017-06-01,6.591991166859165,2.733753772379356
2017-07-01,6.835585711113176,2.763739189130349
2017-08-01,7.103754582299325,2.797059760235346
2017-09-01,7.378965052400922,2.829609261982968
2017-10-01,7.6467822297618415,2.8672752471963254
2017-11-01,7.931966528177847,2.9054426184000226
2017-12-01,8.213213488505128,2.9373229764506066
2018-01-01,8.382394714202846,2.9759040682195144
2018-02-01,8.5123040030319,3.0129557804481952
2018-03-01,8.649598149977633,3.050473847588105
2018-04-01,8.864530985882006,3.0891396062725263
2018-05-01,9.075220860875625,3.134298424381931
2018-06-01,9.320381358822706,3.176152557088832
2018-07-01,9.454405976697577,3.2251018829922335
2018-08-01,9.59050220881386,3.2748055922142356
2018-09-01,9.777847626260284,3.3211072602853267
2018-10-01,10.105883790497717,3.3649825795158828
2018-11-01,10.485866133020853,3.4039530108293308
2018-12-01,10.881300949671198,3.4433747652866193
2019-01-01,11.148628760135148,3.4910074463224396
2019-02-01,11.429779009808797,3.537953285856496
2019-03-01,11.674681156410266,3.583435584884889
2019-04-01,11.90381464330844,3.6307561767660257
2019-05-01,12.118442798226065,3.6787016545598394
2019-06-01,12.35337353810827,3.72094577230738
2019-07-01,12.732479744346325,3.7648418098086864
2019-08-01,13.079469726276923,3.806932010463125
2019-09-01,13.466330296610035,3.84949277139091
2019-10-01,13.86171825655995,3.9082210468265477
2019-11-01,14.288208977643926,3.966763893914208
2019-12-01,14.741678093621891,4.031682170611743
2020-01-01,15.035234283994294,4.095341305048206
2020-02-01,15.303129519356832,4.155956203687364
2020-03-01,15.719068074015235,4.221577590365878
2020-04-01,16.2605170484616,4.26892898979732
2020-05-01,16.86927584923815,4.307175960194005
2020-06-01,17.441350759755103,4.355487475248967
2020-07-01,18.059993199356413,4.411473988849505
2020-08-01,18.60842947297516,4.458491633158798
2020-09-01,19.28615274062013,4.515802187689427
2020-10-01,19.92286359357038,4.577972123297195
